FARENDMA,XZQHDAIM,XZHQHMCH,JIBIEEEE,SUOZDISH,SUOZAISF,XULIEHAO,BYZIDUAN,WEIHSHIJ,WEIHGUIY,WEIHJIGO,WEIHRIQI,SHIJCHUO,JILUZTAI
9999,110000,北京市,0,,,0,,,,,,,
9999,110100,北京市-市辖区,1,,110000,0,,,,,,,
9999,110101,北京市-市辖区-东城区,2,,110100,0,,,,,,,
9999,110102,北京市-市辖区-西城区,2,,110100,0,,,,,,,
9999,110105,北京市-市辖区-朝阳区,2,,110100,0,,,,,,,
9999,110106,北京市-市辖区-丰台区,2,,110100,0,,,,,,,
9999,110107,北京市-市辖区-石景山区,2,,110100,0,,,,,,,
9999,110108,北京市-市辖区-海淀区,2,,110100,0,,,,,,,
9999,110109,北京市-市辖区-门头沟区,2,,110100,0,,,,,,,
9999,110111,北京市-市辖区-房山区,2,,110100,0,,,,,,,
9999,110112,北京市-市辖区-通州区,2,,110100,0,,,,,,,
9999,110113,北京市-市辖区-顺义区,2,,110100,0,,,,,,,
9999,110114,北京市-市辖区-昌平区,2,,110100,0,,,,,,,
9999,110115,北京市-市辖区-大兴区,2,,110100,0,,,,,,,
9999,110116,北京市-市辖区-怀柔区,2,,110100,0,,,,,,,
9999,110117,北京市-市辖区-平谷区,2,,110100,0,,,,,,,
9999,110118,北京市-市辖区-密云区,2,,110100,0,,,,,,,
9999,110119,北京市-市辖区-延庆区,2,,110100,0,,,,,,,
9999,120000,天津市,0,,,0,,,,,,,
9999,120100,天津市-市辖区,1,,120000,0,,,,,,,
9999,120101,天津市-市辖区-和平区,2,,120100,0,,,,,,,
9999,120102,天津市-市辖区-河东区,2,,120100,0,,,,,,,
9999,120103,天津市-市辖区-河西区,2,,120100,0,,,,,,,
9999,120104,天津市-市辖区-南开区,2,,120100,0,,,,,,,
9999,120105,天津市-市辖区-河北区,2,,120100,0,,,,,,,
9999,120106,天津市-市辖区-红桥区,2,,120100,0,,,,,,,
9999,120110,天津市-市辖区-东丽区,2,,120100,0,,,,,,,
9999,120111,天津市-市辖区-西青区,2,,120100,0,,,,,,,
9999,120112,天津市-市辖区-津南区,2,,120100,0,,,,,,,
9999,120113,天津市-市辖区-北辰区,2,,120100,0,,,,,,,
9999,120114,天津市-市辖区-武清区,2,,120100,0,,,,,,,
9999,120115,天津市-市辖区-宝坻区,2,,120100,0,,,,,,,
9999,120116,天津市-市辖区-滨海新区,2,,120100,0,,,,,,,
9999,120117,天津市-市辖区-宁河区,2,,120100,0,,,,,,,
9999,120118,天津市-市辖区-静海区,2,,120100,0,,,,,,,
9999,120119,天津市-市辖区-蓟州区,2,,120100,0,,,,,,,
9999,130000,河北省,0,,,0,,,,,,,
9999,130100,河北省-石家庄市,1,,130000,0,,,,,,,
9999,130101,河北省-石家庄市-市辖区,2,,130100,0,,,,,,,
9999,130102,河北省-石家庄市-长安区,2,,130100,0,,,,,,,
9999,130104,河北省-石家庄市-桥西区,2,,130100,0,,,,,,,
9999,130105,河北省-石家庄市-新华区,2,,130100,0,,,,,,,
9999,130107,河北省-石家庄市-井陉矿区,2,,130100,0,,,,,,,
9999,130108,河北省-石家庄市-裕华区,2,,130100,0,,,,,,,
9999,130109,河北省-石家庄市-藁城区,2,,130100,0,,,,,,,
9999,130110,河北省-石家庄市-鹿泉区,2,,130100,0,,,,,,,
9999,130111,河北省-石家庄市-栾城区,2,,130100,0,,,,,,,
9999,130121,河北省-石家庄市-井陉县,2,,130100,0,,,,,,,
9999,130123,河北省-石家庄市-正定县,2,,130100,0,,,,,,,
9999,130125,河北省-石家庄市-行唐县,2,,130100,0,,,,,,,
9999,130126,河北省-石家庄市-灵寿县,2,,130100,0,,,,,,,
9999,130127,河北省-石家庄市-高邑县,2,,130100,0,,,,,,,
9999,130128,河北省-石家庄市-深泽县,2,,130100,0,,,,,,,
9999,130129,河北省-石家庄市-赞皇县,2,,130100,0,,,,,,,
9999,130130,河北省-石家庄市-无极县,2,,130100,0,,,,,,,
9999,130131,河北省-石家庄市-平山县,2,,130100,0,,,,,,,
9999,130132,河北省-石家庄市-元氏县,2,,130100,0,,,,,,,
9999,130133,河北省-石家庄市-赵县,2,,130100,0,,,,,,,
9999,130181,河北省-石家庄市-辛集市,2,,130100,0,,,,,,,
9999,130183,河北省-石家庄市-晋州市,2,,130100,0,,,,,,,
9999,130184,河北省-石家庄市-新乐市,2,,130100,0,,,,,,,
9999,130200,河北省-唐山市,1,,130000,0,,,,,,,
9999,130201,河北省-唐山市-市辖区,2,,130200,0,,,,,,,
9999,130202,河北省-唐山市-路南区,2,,130200,0,,,,,,,
9999,130203,河北省-唐山市-路北区,2,,130200,0,,,,,,,
9999,130204,河北省-唐山市-古冶区,2,,130200,0,,,,,,,
9999,130205,河北省-唐山市-开平区,2,,130200,0,,,,,,,
9999,130207,河北省-唐山市-丰南区,2,,130200,0,,,,,,,
9999,130208,河北省-唐山市-丰润区,2,,130200,0,,,,,,,
9999,130209,河北省-唐山市-曹妃甸区,2,,130200,0,,,,,,,
9999,130224,河北省-唐山市-滦南县,2,,130200,0,,,,,,,
9999,130225,河北省-唐山市-乐亭县,2,,130200,0,,,,,,,
9999,130227,河北省-唐山市-迁西县,2,,130200,0,,,,,,,
9999,130229,河北省-唐山市-玉田县,2,,130200,0,,,,,,,
9999,130281,河北省-唐山市-遵化市,2,,130200,0,,,,,,,
9999,130283,河北省-唐山市-迁安市,2,,130200,0,,,,,,,
9999,130284,河北省-唐山市-滦州市,2,,130200,0,,,,,,,
9999,130300,河北省-秦皇岛市,1,,130000,0,,,,,,,
9999,130301,河北省-秦皇岛市-市辖区,2,,130300,0,,,,,,,
9999,130302,河北省-秦皇岛市-海港区,2,,130300,0,,,,,,,
9999,130303,河北省-秦皇岛市-山海关区,2,,130300,0,,,,,,,
9999,130304,河北省-秦皇岛市-北戴河区,2,,130300,0,,,,,,,
9999,130306,河北省-秦皇岛市-抚宁区,2,,130300,0,,,,,,,
9999,130321,河北省-秦皇岛市-青龙满族自治县,2,,130300,0,,,,,,,
9999,130322,河北省-秦皇岛市-昌黎县,2,,130300,0,,,,,,,
9999,130324,河北省-秦皇岛市-卢龙县,2,,130300,0,,,,,,,
9999,130400,河北省-邯郸市,1,,130000,0,,,,,,,
9999,130401,河北省-邯郸市-市辖区,2,,130400,0,,,,,,,
9999,130402,河北省-邯郸市-邯山区,2,,130400,0,,,,,,,
9999,130403,河北省-邯郸市-丛台区,2,,130400,0,,,,,,,
9999,130404,河北省-邯郸市-复兴区,2,,130400,0,,,,,,,
9999,130406,河北省-邯郸市-峰峰矿区,2,,130400,0,,,,,,,
9999,130407,河北省-邯郸市-肥乡区,2,,130400,0,,,,,,,
9999,130408,河北省-邯郸市-永年区,2,,130400,0,,,,,,,
9999,130423,河北省-邯郸市-临漳县,2,,130400,0,,,,,,,
9999,130424,河北省-邯郸市-成安县,2,,130400,0,,,,,,,
9999,130425,河北省-邯郸市-大名县,2,,130400,0,,,,,,,
9999,130426,河北省-邯郸市-涉县,2,,130400,0,,,,,,,
9999,130427,河北省-邯郸市-磁县,2,,130400,0,,,,,,,
9999,130430,河北省-邯郸市-邱县,2,,130400,0,,,,,,,
9999,130431,河北省-邯郸市-鸡泽县,2,,130400,0,,,,,,,
9999,130432,河北省-邯郸市-广平县,2,,130400,0,,,,,,,
